b,e,d,a,alignment,families
1,1,2,3,0.912870929,fib_seed;dr_d_2;parity_11;composite_edge
1,2,3,5,0.905821627,fib_seed;dr_d_3;parity_10;prime_edge;grant_lrt
1,3,4,7,0.898146239,dr_d_4;parity_11;prime_edge
1,4,5,9,0.892607398,dr_d_5;parity_10;composite_edge
1,5,6,11,0.888604235,dr_d_6;parity_11;prime_edge
1,6,7,13,0.885614886,dr_d_7;parity_10;composite_edge
1,7,8,15,0.883309679,dr_d_8;parity_11;prime_edge
1,8,9,17,0.881482555,dr_d_9;parity_10;composite_edge
1,9,10,19,0.880000837,dr_d_1;parity_11;composite_edge
1,10,11,21,0.878776058,dr_d_2;parity_10;composite_edge
1,11,12,23,0.877747260,dr_d_3;parity_11;prime_edge
1,12,13,1,0.996023841,dr_d_4;parity_10;composite_edge
1,13,14,3,0.985900604,dr_d_5;parity_11;prime_edge
1,14,15,5,0.969905090,dr_d_6;parity_10;composite_edge
1,15,16,7,0.951260438,dr_d_7;parity_11;composite_edge
1,16,17,9,0.931891116,dr_d_8;parity_10;composite_edge
1,17,18,11,0.912870929,dr_d_9;parity_11;prime_edge
1,18,19,13,0.894754042,dr_d_1;parity_10;composite_edge
1,19,20,15,0.877790816,dr_d_2;parity_11;prime_edge
1,20,21,17,0.862060124,dr_d_3;parity_10;composite_edge
1,21,22,19,0.847547768,dr_d_4;parity_11;composite_edge
1,22,23,21,0.834191997,dr_d_5;parity_10;composite_edge
1,23,24,23,0.821909465,dr_d_6;parity_11;prime_edge
1,24,1,1,0.734658874,dr_d_1;parity_10;composite_edge
2,1,3,4,0.903696114,lucas_seed;dr_d_3;parity_01;prime_edge
2,2,4,6,0.912870929,dr_d_4;parity_00;prime_edge
2,3,5,8,0.910182055,fib_seed;dr_d_5;parity_01;prime_edge
2,4,6,10,0.905821627,dr_d_6;parity_00;prime_edge
2,5,7,12,0.901700096,dr_d_7;parity_01;prime_edge
2,6,8,14,0.898146239,dr_d_8;parity_00;prime_edge
2,7,9,16,0.895143593,dr_d_9;parity_01;prime_edge
2,8,10,18,0.892607398,dr_d_1;parity_00;prime_edge
2,9,11,20,0.890451734,dr_d_2;parity_01;prime_edge
2,10,12,22,0.888604235,dr_d_3;parity_00;prime_edge
2,11,13,24,0.887007108,dr_d_4;parity_01;prime_edge
2,12,14,2,0.985527457,dr_d_5;parity_00;prime_edge
2,13,15,4,0.973067266,dr_d_6;parity_01;prime_edge
2,14,16,6,0.956365070,dr_d_7;parity_00;prime_edge
2,15,17,8,0.937936611,dr_d_8;parity_01;prime_edge
2,16,18,10,0.919254720,dr_d_9;parity_00;prime_edge
2,17,19,12,0.901127114,dr_d_1;parity_01;prime_edge
2,18,20,14,0.883960000,dr_d_2;parity_00;prime_edge
2,19,21,16,0.867926073,dr_d_3;parity_01;prime_edge
2,20,22,18,0.853066687,dr_d_4;parity_00;prime_edge
2,21,23,20,0.839352353,dr_d_5;parity_01;prime_edge
2,22,24,22,0.826717928,dr_d_6;parity_00;prime_edge
2,23,1,24,0.997519446,dr_d_1;parity_01;prime_edge
2,24,2,2,0.758175397,dr_d_2;parity_00;prime_edge
3,1,4,5,0.891132789,dr_d_4;parity_11;prime_edge
3,2,5,7,0.909717652,dr_d_5;parity_10;prime_edge
3,3,6,9,0.912870929,dr_d_6;parity_11;prime_edge
3,4,7,11,0.911465430,lucas_seed;dr_d_7;parity_10;prime_edge
3,5,8,13,0.908758877,fib_seed;dr_d_8;parity_11;prime_edge;satellite
3,6,9,15,0.905821627,dr_d_9;parity_10;prime_edge
3,7,10,17,0.903015084,dr_d_1;parity_11;prime_edge
3,8,11,19,0.900450338,dr_d_2;parity_10;prime_edge
3,9,12,21,0.898146239,dr_d_3;parity_11;prime_edge
3,10,13,23,0.896088153,dr_d_4;parity_10;prime_edge
3,11,14,1,0.977577359,dr_d_5;parity_11;prime_edge
3,12,15,3,0.970494959,dr_d_6;parity_10;prime_edge
3,13,16,5,0.957142625,dr_d_7;parity_11;prime_edge
3,14,17,7,0.940690550,dr_d_8;parity_10;prime_edge
3,15,18,9,0.923099494,dr_d_9;parity_11;prime_edge
3,16,19,11,0.905508947,dr_d_1;parity_10;prime_edge
3,17,20,13,0.888540397,dr_d_2;parity_11;prime_edge
3,18,21,15,0.872502872,dr_d_3;parity_10;prime_edge
3,19,22,17,0.857522934,dr_d_4;parity_11;prime_edge
3,20,23,19,0.843623914,dr_d_5;parity_10;prime_edge
3,21,24,21,0.830773163,dr_d_6;parity_11;prime_edge
3,22,1,23,0.994854799,dr_d_1;parity_10;prime_edge
3,23,2,1,0.788966268,dr_d_2;parity_11;prime_edge
3,24,3,3,0.777481583,dr_d_3;parity_10;prime_edge
4,1,5,6,0.880704846,dr_d_5;parity_01;composite_edge
4,2,6,8,0.903696114,dr_d_6;parity_00;prime_edge
4,3,7,10,0.911295655,dr_d_7;parity_01;prime_edge
4,4,8,12,0.912870929,dr_d_8;parity_00;composite_edge
4,5,9,14,0.912009324,dr_d_9;parity_01;prime_edge
4,6,10,16,0.910182055,dr_d_1;parity_00;composite_edge
4,7,11,18,0.908025222,lucas_seed;dr_d_2;parity_01;prime_edge
4,8,12,20,0.905821627,dr_d_3;parity_00;composite_edge
4,9,13,22,0.903696114,dr_d_4;parity_01;composite_edge
4,10,14,24,0.901700096,dr_d_5;parity_00;composite_edge
4,11,15,2,0.960987652,dr_d_6;parity_01;prime_edge
4,12,16,4,0.952579344,dr_d_7;parity_00;composite_edge
4,13,17,6,0.939336437,dr_d_8;parity_01;prime_edge
4,14,18,8,0.923760431,dr_d_9;parity_00;composite_edge
4,15,19,10,0.907392872,dr_d_1;parity_01;composite_edge
4,16,20,12,0.891132789,dr_d_2;parity_00;composite_edge
4,17,21,14,0.875473787,dr_d_3;parity_01;prime_edge
4,18,22,16,0.860662966,dr_d_4;parity_00;composite_edge
4,19,23,18,0.846801730,dr_d_5;parity_01;prime_edge
4,20,24,20,0.833907848,dr_d_6;parity_00;composite_edge
4,21,1,22,0.990667707,dr_d_1;parity_01;composite_edge
4,22,2,24,0.989762411,dr_d_2;parity_00;composite_edge
4,23,3,2,0.808223859,dr_d_3;parity_01;prime_edge
4,24,4,4,0.792593924,dr_d_4;parity_00;composite_edge
5,1,6,7,0.872502872,dr_d_6;parity_11;prime_edge
5,2,7,9,0.897235447,dr_d_7;parity_10;prime_edge
5,3,8,11,0.907855117,dr_d_8;parity_11;prime_edge
5,4,9,13,0.911929340,dr_d_9;parity_10;prime_edge
5,5,10,15,0.912870929,dr_d_1;parity_11;prime_edge
5,6,11,17,0.912289297,dr_d_2;parity_10;prime_edge
5,7,12,19,0.910977004,dr_d_3;parity_11;prime_edge
5,8,13,21,0.909337982,fib_seed;dr_d_4;parity_10;prime_edge
5,9,14,23,0.907582711,dr_d_5;parity_11;prime_edge
5,10,15,1,0.943564195,dr_d_6;parity_10;prime_edge
5,11,16,3,0.941733144,dr_d_7;parity_11;prime_edge
5,12,17,5,0.933059706,dr_d_8;parity_10;prime_edge
5,13,18,7,0.920566500,dr_d_9;parity_11;prime_edge
5,14,19,9,0.906237810,dr_d_1;parity_10;prime_edge
5,15,20,11,0.891304004,dr_d_2;parity_11;prime_edge
5,16,21,13,0.876491834,dr_d_3;parity_10;prime_edge
5,17,22,15,0.862207492,dr_d_4;parity_11;prime_edge
5,18,23,17,0.848659410,dr_d_5;parity_10;prime_edge
5,19,24,19,0.835936976,dr_d_6;parity_11;prime_edge
5,20,1,21,0.984598818,dr_d_1;parity_10;prime_edge
5,21,2,23,0.984362214,dr_d_2;parity_11;prime_edge
5,22,3,1,0.838040655,dr_d_3;parity_10;prime_edge
5,23,4,3,0.822817939,lucas_seed;dr_d_4;parity_11;prime_edge
5,24,5,5,0.803697293,dr_d_5;parity_10;prime_edge
6,1,7,8,0.866025404,dr_d_7;parity_01;composite_edge
6,2,8,10,0.891132789,dr_d_8;parity_00;prime_edge
6,3,9,12,0.903696114,dr_d_9;parity_01;prime_edge
6,4,10,14,0.909717652,dr_d_1;parity_00;composite_edge
6,5,11,16,0.912245461,dr_d_2;parity_01;prime_edge
6,6,12,18,0.912870929,dr_d_3;parity_00;composite_edge
6,7,13,20,0.912452085,dr_d_4;parity_01;prime_edge
6,8,14,22,0.911465430,dr_d_5;parity_00;composite_edge
6,9,15,24,0.910182055,dr_d_6;parity_01;composite_edge
6,10,16,2,0.923869771,dr_d_7;parity_00;composite_edge
6,11,17,4,0.921132373,dr_d_8;parity_01;prime_edge
6,12,18,6,0.912870929,dr_d_9;parity_00;composite_edge
6,13,19,8,0.901497872,dr_d_1;parity_01;prime_edge
6,14,20,10,0.888604235,dr_d_2;parity_00;composite_edge
6,15,21,12,0.875189949,dr_d_3;parity_01;composite_edge
6,16,22,14,0.861857502,dr_d_4;parity_00;composite_edge
6,17,23,16,0.848952720,dr_d_5;parity_01;prime_edge
6,18,24,18,0.836660027,dr_d_6;parity_00;composite_edge
6,19,1,20,0.976221040,dr_d_1;parity_01;prime_edge
6,20,2,22,0.977008421,dr_d_2;parity_00;composite_edge
6,21,3,24,0.976416832,dr_d_3;parity_01;composite_edge
6,22,4,2,0.852012867,dr_d_4;parity_00;composite_edge
6,23,5,4,0.833003235,dr_d_5;parity_01;prime_edge
6,24,6,6,0.811107106,dr_d_6;parity_00;composite_edge
7,1,8,9,0.860828462,dr_d_8;parity_11;prime_edge
7,2,9,11,0.885614886,dr_d_9;parity_10;prime_edge
7,3,10,13,0.899371170,dr_d_1;parity_11;prime_edge
7,4,11,15,0.906854138,dr_d_2;parity_10;prime_edge
7,5,12,17,0.910707725,dr_d_3;parity_11;prime_edge
7,6,13,19,0.912425518,dr_d_4;parity_10;prime_edge
7,7,14,21,0.912870929,dr_d_5;parity_11;prime_edge
7,8,15,23,0.912555002,dr_d_6;parity_10;prime_edge
7,9,16,1,0.898606443,dr_d_7;parity_11;prime_edge
7,10,17,3,0.903015084,dr_d_8;parity_10;prime_edge
7,11,18,5,0.900117740,lucas_seed;dr_d_9;parity_11;prime_edge
7,12,19,7,0.892664040,dr_d_1;parity_10;prime_edge
7,13,20,9,0.882592747,dr_d_2;parity_11;prime_edge
7,14,21,11,0.871196815,dr_d_3;parity_10;prime_edge
7,15,22,13,0.859304051,dr_d_4;parity_11;prime_edge
7,16,23,15,0.847425697,dr_d_5;parity_10;prime_edge
7,17,24,17,0.835864817,fib_seed;dr_d_6;parity_11;prime_edge
7,18,1,19,0.965034982,dr_d_1;parity_10;prime_edge
7,19,2,21,0.967301667,dr_d_2;parity_11;prime_edge
7,20,3,23,0.967820644,dr_d_3;parity_10;prime_edge
7,21,4,1,0.879304010,dr_d_4;parity_11;prime_edge
7,22,5,3,0.861175113,dr_d_5;parity_10;prime_edge
7,23,6,5,0.839181358,dr_d_6;parity_11;prime_edge
7,24,7,7,0.815225109,dr_d_7;parity_10;prime_edge
8,1,9,10,0.856586153,dr_d_9;parity_01;composite_edge
8,2,10,12,0.880704846,dr_d_1;parity_00;prime_edge
8,3,11,14,0.895143593,dr_d_2;parity_01;prime_edge
8,4,12,16,0.903696114,dr_d_3;parity_00;composite_edge
8,5,13,18,0.908626092,dr_d_4;parity_01;prime_edge
8,6,14,20,0.911295655,dr_d_5;parity_00;composite_edge
8,7,15,22,0.912537704,dr_d_6;parity_01;prime_edge
8,8,16,24,0.912870929,dr_d_7;parity_00;composite_edge
8,9,17,2,0.878458592,dr_d_8;parity_01;composite_edge
8,10,18,4,0.881917104,dr_d_9;parity_00;composite_edge
8,11,19,6,0.879315573,dr_d_1;parity_01;prime_edge
8,12,20,8,0.872871561,dr_d_2;parity_00;composite_edge
8,13,21,10,0.864158565,fib_seed;dr_d_3;parity_01;prime_edge
8,14,22,12,0.854242196,dr_d_4;parity_00;composite_edge
8,15,23,14,0.843819624,dr_d_5;parity_01;composite_edge
8,16,24,16,0.833333333,dr_d_6;parity_00;composite_edge
8,17,1,18,0.950469532,dr_d_1;parity_01;prime_edge
8,18,2,20,0.954785924,dr_d_2;parity_00;composite_edge
8,19,3,22,0.956858057,dr_d_3;parity_01;prime_edge
8,20,4,24,0.957427108,dr_d_4;parity_00;composite_edge
8,21,5,2,0.887385589,dr_d_5;parity_01;composite_edge
8,22,6,4,0.866025404,dr_d_6;parity_00;composite_edge
8,23,7,6,0.841844442,dr_d_7;parity_01;prime_edge
8,24,8,8,0.816496581,dr_d_8;parity_00;composite_edge
9,1,10,11,0.853066687,dr_d_1;parity_11;composite_edge
9,2,11,13,0.876356092,dr_d_2;parity_10;prime_edge
9,3,12,15,0.891132789,dr_d_3;parity_11;prime_edge
9,4,13,17,0.900450338,dr_d_4;parity_10;composite_edge
9,5,14,19,0.906237810,dr_d_5;parity_11;prime_edge
9,6,15,21,0.909717652,dr_d_6;parity_10;composite_edge
9,7,16,23,0.911672935,dr_d_7;parity_11;prime_edge
9,8,17,1,0.881482555,dr_d_8;parity_10;composite_edge
9,9,18,3,0.858116330,dr_d_9;parity_11;composite_edge
9,10,19,5,0.861175113,dr_d_1;parity_10;composite_edge
9,11,20,7,0.859124693,dr_d_2;parity_11;prime_edge
9,12,21,9,0.853765578,dr_d_3;parity_10;composite_edge
9,13,22,11,0.846388958,dr_d_4;parity_11;prime_edge
9,14,23,13,0.837885005,dr_d_5;parity_10;composite_edge
9,15,24,15,0.828849727,dr_d_6;parity_11;composite_edge
9,16,1,17,0.931891116,dr_d_1;parity_10;composite_edge
9,17,2,19,0.938952956,dr_d_2;parity_11;prime_edge
9,18,3,21,0.943119125,dr_d_3;parity_10;composite_edge
9,19,4,23,0.945313187,dr_d_4;parity_11;prime_edge
9,20,5,1,0.910707725,dr_d_5;parity_10;composite_edge
9,21,6,3,0.890870806,dr_d_6;parity_11;composite_edge
9,22,7,5,0.867154070,dr_d_7;parity_10;composite_edge
9,23,8,7,0.841522693,dr_d_8;parity_11;prime_edge
9,24,9,9,0.815374248,dr_d_9;parity_10;composite_edge
10,1,11,12,0.850104462,dr_d_2;parity_01;composite_edge
10,2,12,14,0.872502872,dr_d_3;parity_00;prime_edge
10,3,13,16,0.887385589,dr_d_4;parity_01;prime_edge
10,4,14,18,0.897235447,dr_d_5;parity_00;composite_edge
10,5,15,20,0.903696114,dr_d_6;parity_01;prime_edge
10,6,16,22,0.907855117,dr_d_7;parity_00;composite_edge
10,7,17,24,0.910436963,fib_seed;dr_d_8;parity_01;prime_edge
10,8,18,2,0.892607398,dr_d_9;parity_00;composite_edge
10,9,19,4,0.868092293,dr_d_1;parity_01;composite_edge
10,10,20,6,0.841158231,dr_d_2;parity_00;composite_edge
10,11,21,8,0.839782210,dr_d_3;parity_01;prime_edge
10,12,22,10,0.835504418,dr_d_4;parity_00;composite_edge
10,13,23,12,0.829396220,dr_d_5;parity_01;prime_edge
10,14,24,14,0.822210413,dr_d_6;parity_00;composite_edge
10,15,1,16,0.908626092,dr_d_1;parity_01;composite_edge
10,16,2,18,0.919254720,dr_d_2;parity_00;composite_edge
10,17,3,20,0.926158422,dr_d_3;parity_01;prime_edge
10,18,4,22,0.930484210,dr_d_4;parity_00;composite_edge
