epoch,method,dim_x,dim_z,batch_size,avg_energy
1,hgd,16,12,32,0
2,hgd,16,12,32,0
3,hgd,16,12,32,0
4,hgd,16,12,32,0
5,hgd,16,12,32,0
6,hgd,16,12,32,0
7,hgd,16,12,32,0
8,hgd,16,12,32,0
9,hgd,16,12,32,0
10,hgd,16,12,32,0
11,hgd,16,12,32,0
12,hgd,16,12,32,0
13,hgd,16,12,32,0
14,hgd,16,12,32,0
15,hgd,16,12,32,0
16,hgd,16,12,32,0
17,hgd,16,12,32,0
18,hgd,16,12,32,0
19,hgd,16,12,32,0
20,hgd,16,12,32,0
21,hgd,16,12,32,0
22,hgd,16,12,32,0
23,hgd,16,12,32,0
24,hgd,16,12,32,0
25,hgd,16,12,32,0
26,hgd,16,12,32,0
27,hgd,16,12,32,0
28,hgd,16,12,32,0
29,hgd,16,12,32,0
30,hgd,16,12,32,0
1,hgd,16,12,32,0
2,hgd,16,12,32,0
3,hgd,16,12,32,0
4,hgd,16,12,32,0
5,hgd,16,12,32,0
6,hgd,16,12,32,0
7,hgd,16,12,32,0
8,hgd,16,12,32,0
9,hgd,16,12,32,0
10,hgd,16,12,32,0
11,hgd,16,12,32,0
12,hgd,16,12,32,0
13,hgd,16,12,32,0
14,hgd,16,12,32,0
15,hgd,16,12,32,0
16,hgd,16,12,32,0
17,hgd,16,12,32,0
18,hgd,16,12,32,0
19,hgd,16,12,32,0
20,hgd,16,12,32,0
21,hgd,16,12,32,0
22,hgd,16,12,32,0
23,hgd,16,12,32,0
24,hgd,16,12,32,0
25,hgd,16,12,32,0
26,hgd,16,12,32,0
27,hgd,16,12,32,0
28,hgd,16,12,32,0
29,hgd,16,12,32,0
30,hgd,16,12,32,0
1,hgd,16,12,32,0
2,hgd,16,12,32,0
3,hgd,16,12,32,0
4,hgd,16,12,32,0
5,hgd,16,12,32,0
6,hgd,16,12,32,0
7,hgd,16,12,32,0
8,hgd,16,12,32,0
9,hgd,16,12,32,0
10,hgd,16,12,32,0
11,hgd,16,12,32,0
12,hgd,16,12,32,0
13,hgd,16,12,32,0
14,hgd,16,12,32,0
15,hgd,16,12,32,0
16,hgd,16,12,32,0
17,hgd,16,12,32,0
18,hgd,16,12,32,0
19,hgd,16,12,32,0
20,hgd,16,12,32,0
21,hgd,16,12,32,0
22,hgd,16,12,32,0
23,hgd,16,12,32,0
24,hgd,16,12,32,0
25,hgd,16,12,32,0
26,hgd,16,12,32,0
27,hgd,16,12,32,0
28,hgd,16,12,32,0
29,hgd,16,12,32,0
30,hgd,16,12,32,0
1,hgd,16,12,32,0
2,hgd,16,12,32,0
3,hgd,16,12,32,0
4,hgd,16,12,32,0
5,hgd,16,12,32,0
6,hgd,16,12,32,0
7,hgd,16,12,32,0
8,hgd,16,12,32,0
9,hgd,16,12,32,0
10,hgd,16,12,32,0
11,hgd,16,12,32,0
12,hgd,16,12,32,0
13,hgd,16,12,32,0
14,hgd,16,12,32,0
15,hgd,16,12,32,0
16,hgd,16,12,32,0
17,hgd,16,12,32,0
18,hgd,16,12,32,0
19,hgd,16,12,32,0
20,hgd,16,12,32,0
21,hgd,16,12,32,0
22,hgd,16,12,32,0
23,hgd,16,12,32,0
24,hgd,16,12,32,0
25,hgd,16,12,32,0
26,hgd,16,12,32,0
27,hgd,16,12,32,0
28,hgd,16,12,32,0
29,hgd,16,12,32,0
30,hgd,16,12,32,0
1,hgd,16,12,32,0
2,hgd,16,12,32,0
3,hgd,16,12,32,0
4,hgd,16,12,32,0
5,hgd,16,12,32,0
6,hgd,16,12,32,0
7,hgd,16,12,32,0
8,hgd,16,12,32,0
9,hgd,16,12,32,0
10,hgd,16,12,32,0
11,hgd,16,12,32,0
12,hgd,16,12,32,0
13,hgd,16,12,32,0
14,hgd,16,12,32,0
15,hgd,16,12,32,0
16,hgd,16,12,32,0
17,hgd,16,12,32,0
18,hgd,16,12,32,0
19,hgd,16,12,32,0
20,hgd,16,12,32,0
21,hgd,16,12,32,0
22,hgd,16,12,32,0
23,hgd,16,12,32,0
24,hgd,16,12,32,0
25,hgd,16,12,32,0
26,hgd,16,12,32,0
27,hgd,16,12,32,0
28,hgd,16,12,32,0
29,hgd,16,12,32,0
30,hgd,16,12,32,0
1,hgd,16,12,32,0
2,hgd,16,12,32,0
3,hgd,16,12,32,0
4,hgd,16,12,32,0
5,hgd,16,12,32,0
6,hgd,16,12,32,0
7,hgd,16,12,32,0
8,hgd,16,12,32,0
9,hgd,16,12,32,0
10,hgd,16,12,32,0
11,hgd,16,12,32,0
12,hgd,16,12,32,0
13,hgd,16,12,32,0
14,hgd,16,12,32,0
15,hgd,16,12,32,0
16,hgd,16,12,32,0
17,hgd,16,12,32,0
18,hgd,16,12,32,0
19,hgd,16,12,32,0
20,hgd,16,12,32,0
21,hgd,16,12,32,0
22,hgd,16,12,32,0
23,hgd,16,12,32,0
24,hgd,16,12,32,0
25,hgd,16,12,32,0
26,hgd,16,12,32,0
27,hgd,16,12,32,0
28,hgd,16,12,32,0
29,hgd,16,12,32,0
30,hgd,16,12,32,0
1,hgd,16,12,32,0
2,hgd,16,12,32,0
3,hgd,16,12,32,0
4,hgd,16,12,32,0
5,hgd,16,12,32,0
6,hgd,16,12,32,0
7,hgd,16,12,32,0
8,hgd,16,12,32,0
9,hgd,16,12,32,0
10,hgd,16,12,32,0
11,hgd,16,12,32,0
12,hgd,16,12,32,0
13,hgd,16,12,32,0
14,hgd,16,12,32,0
15,hgd,16,12,32,0
16,hgd,16,12,32,0
17,hgd,16,12,32,0
18,hgd,16,12,32,0
19,hgd,16,12,32,0
20,hgd,16,12,32,0
21,hgd,16,12,32,0
22,hgd,16,12,32,0
23,hgd,16,12,32,0
24,hgd,16,12,32,0
25,hgd,16,12,32,0
26,hgd,16,12,32,0
27,hgd,16,12,32,0
28,hgd,16,12,32,0
29,hgd,16,12,32,0
30,hgd,16,12,32,0
1,hgd,16,12,32,0
2,hgd,16,12,32,0
3,hgd,16,12,32,0
4,hgd,16,12,32,0
5,hgd,16,12,32,0
6,hgd,16,12,32,0
7,hgd,16,12,32,0
8,hgd,16,12,32,0
9,hgd,16,12,32,0
10,hgd,16,12,32,0
11,hgd,16,12,32,0
12,hgd,16,12,32,0
13,hgd,16,12,32,0
14,hgd,16,12,32,0
15,hgd,16,12,32,0
16,hgd,16,12,32,0
17,hgd,16,12,32,0
18,hgd,16,12,32,0
19,hgd,16,12,32,0
20,hgd,16,12,32,0
21,hgd,16,12,32,0
22,hgd,16,12,32,0
23,hgd,16,12,32,0
24,hgd,16,12,32,0
25,hgd,16,12,32,0
26,hgd,16,12,32,0
27,hgd,16,12,32,0
28,hgd,16,12,32,0
29,hgd,16,12,32,0
30,hgd,16,12,32,0
