epoch,method,dim_x,dim_z,batch_size,avg_energy
1,sgd,16,12,32,0
2,sgd,16,12,32,0
3,sgd,16,12,32,0
4,sgd,16,12,32,0
5,sgd,16,12,32,0
6,sgd,16,12,32,0
7,sgd,16,12,32,0
8,sgd,16,12,32,0
9,sgd,16,12,32,0
10,sgd,16,12,32,0
11,sgd,16,12,32,0
12,sgd,16,12,32,0
13,sgd,16,12,32,0
14,sgd,16,12,32,0
15,sgd,16,12,32,0
16,sgd,16,12,32,0
17,sgd,16,12,32,0
18,sgd,16,12,32,0
19,sgd,16,12,32,0
20,sgd,16,12,32,0
21,sgd,16,12,32,0
22,sgd,16,12,32,0
23,sgd,16,12,32,0
24,sgd,16,12,32,0
25,sgd,16,12,32,0
26,sgd,16,12,32,0
27,sgd,16,12,32,0
28,sgd,16,12,32,0
29,sgd,16,12,32,0
30,sgd,16,12,32,0
1,sgd,16,12,32,0
2,sgd,16,12,32,0
3,sgd,16,12,32,0
4,sgd,16,12,32,0
5,sgd,16,12,32,0
6,sgd,16,12,32,0
7,sgd,16,12,32,0
8,sgd,16,12,32,0
9,sgd,16,12,32,0
10,sgd,16,12,32,0
11,sgd,16,12,32,0
12,sgd,16,12,32,0
13,sgd,16,12,32,0
14,sgd,16,12,32,0
15,sgd,16,12,32,0
16,sgd,16,12,32,0
17,sgd,16,12,32,0
18,sgd,16,12,32,0
19,sgd,16,12,32,0
20,sgd,16,12,32,0
21,sgd,16,12,32,0
22,sgd,16,12,32,0
23,sgd,16,12,32,0
24,sgd,16,12,32,0
25,sgd,16,12,32,0
26,sgd,16,12,32,0
27,sgd,16,12,32,0
28,sgd,16,12,32,0
29,sgd,16,12,32,0
30,sgd,16,12,32,0
1,sgd,16,12,32,0
2,sgd,16,12,32,0
3,sgd,16,12,32,0
4,sgd,16,12,32,0
5,sgd,16,12,32,0
6,sgd,16,12,32,0
7,sgd,16,12,32,0
8,sgd,16,12,32,0
9,sgd,16,12,32,0
10,sgd,16,12,32,0
11,sgd,16,12,32,0
12,sgd,16,12,32,0
13,sgd,16,12,32,0
14,sgd,16,12,32,0
15,sgd,16,12,32,0
16,sgd,16,12,32,0
17,sgd,16,12,32,0
18,sgd,16,12,32,0
19,sgd,16,12,32,0
20,sgd,16,12,32,0
21,sgd,16,12,32,0
22,sgd,16,12,32,0
23,sgd,16,12,32,0
24,sgd,16,12,32,0
25,sgd,16,12,32,0
26,sgd,16,12,32,0
27,sgd,16,12,32,0
28,sgd,16,12,32,0
29,sgd,16,12,32,0
30,sgd,16,12,32,0
1,sgd,16,12,32,0
2,sgd,16,12,32,0
3,sgd,16,12,32,0
4,sgd,16,12,32,0
5,sgd,16,12,32,0
6,sgd,16,12,32,0
7,sgd,16,12,32,0
8,sgd,16,12,32,0
9,sgd,16,12,32,0
10,sgd,16,12,32,0
11,sgd,16,12,32,0
12,sgd,16,12,32,0
13,sgd,16,12,32,0
14,sgd,16,12,32,0
15,sgd,16,12,32,0
16,sgd,16,12,32,0
17,sgd,16,12,32,0
18,sgd,16,12,32,0
19,sgd,16,12,32,0
20,sgd,16,12,32,0
21,sgd,16,12,32,0
22,sgd,16,12,32,0
23,sgd,16,12,32,0
24,sgd,16,12,32,0
25,sgd,16,12,32,0
26,sgd,16,12,32,0
27,sgd,16,12,32,0
28,sgd,16,12,32,0
29,sgd,16,12,32,0
30,sgd,16,12,32,0
1,sgd,16,12,32,0
2,sgd,16,12,32,0
3,sgd,16,12,32,0
4,sgd,16,12,32,0
5,sgd,16,12,32,0
6,sgd,16,12,32,0
7,sgd,16,12,32,0
8,sgd,16,12,32,0
9,sgd,16,12,32,0
10,sgd,16,12,32,0
11,sgd,16,12,32,0
12,sgd,16,12,32,0
13,sgd,16,12,32,0
14,sgd,16,12,32,0
15,sgd,16,12,32,0
16,sgd,16,12,32,0
17,sgd,16,12,32,0
18,sgd,16,12,32,0
19,sgd,16,12,32,0
20,sgd,16,12,32,0
21,sgd,16,12,32,0
22,sgd,16,12,32,0
23,sgd,16,12,32,0
24,sgd,16,12,32,0
25,sgd,16,12,32,0
26,sgd,16,12,32,0
27,sgd,16,12,32,0
28,sgd,16,12,32,0
29,sgd,16,12,32,0
30,sgd,16,12,32,0
1,sgd,16,12,32,0
2,sgd,16,12,32,0
3,sgd,16,12,32,0
4,sgd,16,12,32,0
5,sgd,16,12,32,0
6,sgd,16,12,32,0
7,sgd,16,12,32,0
8,sgd,16,12,32,0
9,sgd,16,12,32,0
10,sgd,16,12,32,0
11,sgd,16,12,32,0
12,sgd,16,12,32,0
13,sgd,16,12,32,0
14,sgd,16,12,32,0
15,sgd,16,12,32,0
16,sgd,16,12,32,0
17,sgd,16,12,32,0
18,sgd,16,12,32,0
19,sgd,16,12,32,0
20,sgd,16,12,32,0
21,sgd,16,12,32,0
22,sgd,16,12,32,0
23,sgd,16,12,32,0
24,sgd,16,12,32,0
25,sgd,16,12,32,0
26,sgd,16,12,32,0
27,sgd,16,12,32,0
28,sgd,16,12,32,0
29,sgd,16,12,32,0
30,sgd,16,12,32,0
1,sgd,16,12,32,0
2,sgd,16,12,32,0
3,sgd,16,12,32,0
4,sgd,16,12,32,0
5,sgd,16,12,32,0
6,sgd,16,12,32,0
7,sgd,16,12,32,0
8,sgd,16,12,32,0
9,sgd,16,12,32,0
10,sgd,16,12,32,0
11,sgd,16,12,32,0
12,sgd,16,12,32,0
13,sgd,16,12,32,0
14,sgd,16,12,32,0
15,sgd,16,12,32,0
16,sgd,16,12,32,0
17,sgd,16,12,32,0
18,sgd,16,12,32,0
19,sgd,16,12,32,0
20,sgd,16,12,32,0
21,sgd,16,12,32,0
22,sgd,16,12,32,0
23,sgd,16,12,32,0
24,sgd,16,12,32,0
25,sgd,16,12,32,0
26,sgd,16,12,32,0
27,sgd,16,12,32,0
28,sgd,16,12,32,0
29,sgd,16,12,32,0
30,sgd,16,12,32,0
1,sgd,16,12,32,0
2,sgd,16,12,32,0
3,sgd,16,12,32,0
4,sgd,16,12,32,0
5,sgd,16,12,32,0
6,sgd,16,12,32,0
7,sgd,16,12,32,0
8,sgd,16,12,32,0
9,sgd,16,12,32,0
10,sgd,16,12,32,0
11,sgd,16,12,32,0
12,sgd,16,12,32,0
13,sgd,16,12,32,0
14,sgd,16,12,32,0
15,sgd,16,12,32,0
16,sgd,16,12,32,0
17,sgd,16,12,32,0
18,sgd,16,12,32,0
19,sgd,16,12,32,0
20,sgd,16,12,32,0
21,sgd,16,12,32,0
22,sgd,16,12,32,0
23,sgd,16,12,32,0
24,sgd,16,12,32,0
25,sgd,16,12,32,0
26,sgd,16,12,32,0
27,sgd,16,12,32,0
28,sgd,16,12,32,0
29,sgd,16,12,32,0
30,sgd,16,12,32,0
