epoch,method,loss,acc
1,HGD,2.349294,0.533093
2,HGD,1.295946,0.882070
3,HGD,0.961443,0.882070
4,HGD,1.000363,0.912154
5,HGD,0.689887,0.888087
6,HGD,0.800843,0.874850
7,HGD,0.678595,0.909747
8,HGD,0.760959,0.933815
9,HGD,0.437720,0.956679
10,HGD,0.420866,0.979543
11,HGD,0.422795,0.929001
12,HGD,0.734121,0.929001
13,HGD,0.541830,0.983153
14,HGD,0.302971,0.989170
15,HGD,0.160890,0.974729
16,HGD,0.323162,0.950662
17,HGD,0.220826,0.961492
18,HGD,0.271144,0.947052
19,HGD,0.403705,0.907341
20,HGD,0.376136,0.973526
21,HGD,0.359717,0.963899
22,HGD,0.333061,0.979543
23,HGD,0.173564,0.992780
24,HGD,0.154476,0.985560
25,HGD,0.089285,0.971119
26,HGD,0.578007,0.965102
27,HGD,0.270561,0.984356
28,HGD,0.115791,0.979543
29,HGD,0.154922,0.987966
30,HGD,0.087411,0.986763
31,HGD,0.146378,0.993983
32,HGD,0.139095,0.985560
33,HGD,0.115469,0.974729
34,HGD,0.086356,0.969916
35,HGD,0.173987,0.979543
36,HGD,0.306530,0.983153
37,HGD,0.308917,0.950662
38,HGD,0.179079,0.972323
39,HGD,0.055559,0.984356
40,HGD,0.254784,0.984356
41,HGD,0.195951,0.990373
42,HGD,0.193382,0.947052
43,HGD,0.210738,0.978339
44,HGD,0.166591,0.969916
45,HGD,0.080374,0.921781
46,HGD,0.143860,0.985560
47,HGD,0.109931,0.989170
48,HGD,0.127181,0.974729
49,HGD,0.063579,0.991576
50,HGD,0.065153,0.980746
