epoch,method,loss,acc
1,SGD,1.776424,0.729242
2,SGD,0.930421,0.889290
3,SGD,0.765256,0.884477
4,SGD,0.731052,0.912154
5,SGD,0.486636,0.932611
6,SGD,0.460972,0.926594
7,SGD,0.415836,0.922984
8,SGD,0.554267,0.942238
9,SGD,0.307982,0.951865
10,SGD,0.250548,0.973526
11,SGD,0.222499,0.945848
12,SGD,0.350658,0.972323
13,SGD,0.161052,0.948255
14,SGD,0.152737,0.980746
15,SGD,0.151420,0.978339
16,SGD,0.162303,0.947052
17,SGD,0.154038,0.981949
18,SGD,0.198453,0.961492
19,SGD,0.267760,0.925391
20,SGD,0.180700,0.989170
21,SGD,0.117969,0.972323
22,SGD,0.158825,0.990373
23,SGD,0.106458,0.990373
24,SGD,0.106327,0.985560
25,SGD,0.096870,0.995187
26,SGD,0.319879,0.972323
27,SGD,0.111951,0.991576
28,SGD,0.096854,0.980746
29,SGD,0.101886,0.990373
30,SGD,0.063335,0.989170
31,SGD,0.101126,0.990373
32,SGD,0.086974,0.984356
33,SGD,0.144475,0.974729
34,SGD,0.081140,0.997593
35,SGD,0.109686,0.992780
36,SGD,0.153947,0.984356
37,SGD,0.102201,0.967509
38,SGD,0.075253,0.993983
39,SGD,0.050443,0.992780
40,SGD,0.138266,0.986763
41,SGD,0.159851,0.966306
42,SGD,0.135816,0.942238
43,SGD,0.127517,0.987966
44,SGD,0.092507,0.977136
45,SGD,0.055907,0.993983
46,SGD,0.062422,0.984356
47,SGD,0.083811,0.992780
48,SGD,0.063663,0.981949
49,SGD,0.045405,0.991576
50,SGD,0.052822,0.996390
